ScanCode,Access,Description,Instruments
LOW_LAST_VS_EMA100,allowed,Price vs EMA(100) Change(%) (Low-High),"STK,ETF.EQ.US,ETF.FI.US"
HIGH_LAST_VS_EMA200,allowed,Price vs EMA(200) Change(%) (High-Low),"STK,ETF.EQ.US,ETF.FI.US"
LOW_LAST_VS_EMA200,allowed,Price vs EMA(200) Change(%) (Low-High),"STK,ETF.EQ.US,ETF.FI.US"
BULLISH_LAST_VS_EMA20,allowed,Bullish Price vs EMA(20),"STK,ETF.EQ.US,ETF.FI.US"
BEARISH_LAST_VS_EMA20,allowed,Bearish Price vs EMA(20),"STK,ETF.EQ.US,ETF.FI.US"
BULLISH_LAST_VS_EMA50,allowed,Bullish Price vs EMA(50),"STK,ETF.EQ.US,ETF.FI.US"
BEARISH_LAST_VS_EMA50,allowed,Bearish Price vs EMA(50),"STK,ETF.EQ.US,ETF.FI.US"
BULLISH_LAST_VS_EMA100,allowed,Bullish Price vs EMA(100),"STK,ETF.EQ.US,ETF.FI.US"
BEARISH_LAST_VS_EMA100,allowed,Bearish Price vs EMA(100),"STK,ETF.EQ.US,ETF.FI.US"
BULLISH_LAST_VS_EMA200,allowed,Bullish Price vs EMA(200),"STK,ETF.EQ.US,ETF.FI.US"
BEARISH_LAST_VS_EMA200,allowed,Bearish Price vs EMA(200),"STK,ETF.EQ.US,ETF.FI.US"
BULLISH_EMA_DIFF_VS_LAST,allowed,Bullish EMA(20) vs EMA(200),"STK,ETF.EQ.US,ETF.FI.US"
BEARISH_EMA_DIFF_VS_LAST,allowed,Bearish EMA(20) vs EMA(200),"STK,ETF.EQ.US,ETF.FI.US"
BULLISH_MACD_DIST_VS_LAST,allowed,Bullish MACD Histogram,"STK,ETF.EQ.US,ETF.FI.US"
BEARISH_MACD_DIST_VS_LAST,allowed,Bearish MACD Histogram,"STK,ETF.EQ.US,ETF.FI.US"
BULLISH_PPO_DIST,allowed,Bullish PPO Histogram,"STK,ETF.EQ.US,ETF.FI.US"
BEARISH_PPO_DIST,allowed,Bearish PPO Histogram,"STK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgLongTermTechnicalDate_DESC,unrestricted,Long Term Technical Date (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgLongTermTechnicalDate_ASC,unrestricted,Long Term Technical Date (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
